User_ID_x,14413370,15614582,15800697,15995683,17237178,18204607,19142551,20004501,20812098,21415068,23636341,23846387,24487817,24688850,25437536,25564023,28152598,33214161,33760345,43405249,48124610,51716011,52658734,62697366,64687084,65992273,78897887,89090775,101945848,117511000,119182046,137455850,159605210,162959947,167489997,168819220,226168436,258916333,263977418,264595508,282269124,287016103,308212534,320915056,328457935,329137978,330759494,343042963,343529731,344918904,348255536,368623629,376370548,436894497,477889371,480018197,544927839,551509847,552178363,576796855,597865491,614730516,790546093,838627057,863113304,884893716,887569722,903122724,923641921,944224682,984614636,1129745845,1149353412,1172143405,1210753874,1241691530,1255179128,1260736442,1340063743,1438949354,1552520972,1656884071,1861023685,1871547854,1883333624,1913188200,2174118859,2251286285,2256745548,2455822425,2485769186,2485800912,2559582960,2571878965,2586164682,2692397982,2869972938,2903194852,2904695183,2908458650,2915583070,3000911754,3035800695,3042242150,3053054433,3107967905,3152225155,3153280458,3158661520,3166924179,3169035458,3170681876,3193043938,3214786827,3243175638,3243741217,3243962811,3351115882
43405249,53,0,41,49,1,22,0,16,0,0,0,0,0,46,10,1,13,0,0,0,73,0,37,1,1,2,2,63,1,59,1,17,1,3,6,0,51,27,0,48,0,8,65,0,74,60,2,100,0,32,1,7,45,10,1,127,0,22,3,1,9,0,7,2,75,80,177,34,55,31,1,0,130,0,0,85,71,0,0,0,0,80,0,1,0,0,5,125,0,0,0,0,18,0,2,92,1,2,3,1,4,5,0,10,0,0,2,1,0,0,0,0,0,1,0,17,0,48
48124610,140,0,191,206,2,45,9,51,2,0,4,1,0,231,53,20,16,0,0,73,0,0,138,5,4,33,9,284,1,116,14,41,4,18,25,2,80,176,5,140,1,35,103,0,287,78,5,307,0,202,7,54,119,32,2,118,0,86,5,10,21,2,26,5,106,538,132,92,39,130,6,0,186,0,0,346,224,1,0,0,0,223,0,19,0,0,5,313,0,0,0,0,44,0,4,78,5,11,9,10,5,13,0,22,1,0,3,7,1,0,4,1,0,4,1,43,0,71
51716011,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,8,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,6,1,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0
52658734,63,1,68,85,0,26,2,32,2,0,4,0,0,124,21,9,16,0,0,37,138,0,0,5,2,4,5,125,0,79,4,28,3,5,10,2,47,62,3,98,3,20,96,0,100,41,4,167,0,72,4,29,60,16,1,84,1,49,3,3,12,1,7,2,56,161,89,67,13,49,4,0,121,0,0,159,132,0,0,0,1,122,0,6,0,0,4,192,0,1,0,0,25,0,3,37,3,3,3,10,1,7,0,11,0,0,2,7,0,0,4,2,0,1,0,28,1,36
62697366,7,0,6,1,27,1,1,3,2,1,53,0,2,10,63,35,0,3,0,1,5,0,5,0,4,22,19,11,15,3,31,19,1,2,45,0,14,0,14,2,8,0,9,0,6,2,11,13,2,31,3,1,0,1,37,5,0,6,7,26,12,26,3,32,3,3,1,2,0,1,2,0,1,1,0,0,29,0,0,0,1,9,2,8,1,0,29,3,2,2,1,1,2,0,16,0,9,47,0,0,1,1,0,2,8,0,0,15,6,5,34,20,13,0,22,0,6,1
64687084,4,1,1,2,0,0,3,0,1,0,1,0,0,1,6,3,0,0,0,1,4,0,2,4,0,3,4,4,1,4,3,3,0,0,9,0,6,1,1,3,0,0,3,0,2,0,2,8,0,4,0,0,1,0,1,6,1,2,0,2,2,1,2,1,1,2,0,1,0,2,1,0,1,0,0,1,11,0,0,0,0,2,0,3,0,0,2,3,0,2,0,0,1,0,4,3,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
65992273,13,0,12,8,2,1,3,2,28,0,25,0,4,3,123,95,1,7,1,2,33,3,4,22,3,0,20,8,2,2,105,8,2,3,204,0,18,5,44,5,14,1,5,0,8,3,72,18,1,72,0,2,1,1,3,7,0,17,8,48,4,5,6,18,5,17,4,2,1,2,14,0,3,0,0,8,35,0,1,0,0,7,4,7,0,0,48,8,1,10,1,1,2,2,39,0,30,100,1,0,0,0,7,0,1,0,0,52,3,0,38,12,3,0,2,0,3,0
78897887,9,2,11,5,11,1,3,3,10,0,36,1,5,9,101,68,0,2,2,2,9,3,5,19,4,20,0,9,11,8,44,21,4,5,59,1,12,5,21,7,7,0,13,1,5,4,24,30,2,33,1,5,1,1,14,6,2,14,6,56,6,27,4,36,2,9,7,3,1,3,7,0,5,0,0,8,37,0,0,0,2,11,4,9,0,0,38,4,2,4,2,2,1,0,22,3,8,68,3,0,1,0,1,1,14,1,0,31,2,4,69,5,16,0,12,2,5,6
89090775,77,0,146,159,2,100,4,47,1,0,4,1,0,201,54,19,17,0,0,63,284,0,125,11,4,8,9,0,0,135,4,42,6,7,15,2,72,97,2,159,4,111,105,0,187,87,4,303,1,136,11,43,109,28,1,143,1,152,4,7,34,3,22,4,123,375,163,138,38,68,6,0,199,0,0,312,257,0,0,0,0,214,0,16,0,0,8,313,0,1,0,0,78,0,5,86,4,13,5,4,5,15,0,42,0,0,2,4,1,0,3,0,0,5,0,40,0,46
101945848,1,0,0,0,113,0,0,0,1,0,113,0,7,0,19,64,0,0,0,1,1,0,0,15,1,2,11,0,0,1,27,1,0,0,17,0,0,1,7,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,176,0,0,3,2,15,0,314,4,68,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,17,0,1,2,2,3,0,0,7,0,3,63,0,0,0,0,0,0,35,0,0,10,3,5,118,5,41,0,103,0,1,1
117511000,65,0,79,76,0,40,4,36,0,0,1,2,0,102,30,17,19,0,0,59,116,0,79,3,4,2,8,135,1,0,2,33,9,9,14,2,54,37,1,124,4,17,67,0,76,54,2,181,0,59,6,19,75,15,2,116,0,49,4,3,25,1,6,3,68,132,123,63,30,39,3,0,133,0,0,151,126,0,0,0,0,128,0,5,0,0,5,188,0,2,0,0,27,0,3,61,4,9,2,1,3,7,0,22,0,0,4,2,1,0,2,0,0,1,0,29,1,37
119182046,4,1,3,5,32,0,4,1,27,0,194,1,11,5,174,251,1,6,1,1,14,4,4,31,3,105,44,4,27,2,0,7,1,4,277,0,11,5,128,5,14,1,7,0,8,1,45,6,0,49,0,7,3,3,50,2,2,33,12,145,1,47,9,72,4,9,3,2,0,6,23,0,1,0,1,2,21,0,2,0,0,5,3,29,0,0,90,8,3,16,4,3,2,2,73,2,60,228,0,0,0,0,2,1,22,0,0,107,3,7,155,7,23,0,33,1,1,4
137455850,27,1,21,23,0,7,0,7,2,0,15,0,0,23,49,12,5,1,0,17,41,0,28,19,3,8,21,42,1,33,7,0,5,9,25,1,21,13,2,26,3,4,35,1,33,16,5,61,1,50,4,3,15,9,2,27,3,21,7,10,15,6,13,8,19,37,32,14,9,16,3,1,34,1,2,28,61,0,0,0,0,46,1,12,0,0,12,36,0,2,0,0,17,0,2,19,8,10,1,0,5,5,0,7,1,0,0,7,1,0,4,1,0,1,0,4,2,24
159605210,2,0,9,4,0,3,0,4,0,0,1,0,0,4,4,1,0,0,0,1,4,0,3,1,0,2,4,6,0,9,1,5,0,0,6,0,5,1,2,5,0,0,8,0,6,2,3,11,0,8,2,4,4,2,0,3,1,4,1,2,4,1,1,0,3,4,5,3,0,3,0,0,8,0,0,6,12,0,0,0,0,6,0,3,0,0,1,13,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,1,6
162959947,10,1,7,6,1,1,0,3,1,0,5,0,0,4,5,3,1,0,0,3,18,0,5,2,0,3,5,7,0,9,4,9,0,0,5,0,3,12,2,10,2,2,7,0,13,2,3,8,0,6,0,1,6,2,1,6,1,7,1,3,3,7,2,4,4,12,5,6,2,12,2,0,5,0,0,9,7,0,0,0,0,4,0,2,0,0,3,9,1,2,0,0,5,0,0,2,1,5,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,8
167489997,8,1,11,10,11,0,13,3,45,1,103,0,6,14,352,333,2,11,3,6,25,8,10,45,9,204,59,15,17,14,277,25,6,5,0,0,50,1,130,12,32,0,19,1,15,4,97,57,2,118,1,12,7,4,29,15,2,38,19,163,14,37,10,68,10,26,8,4,1,7,35,0,4,1,0,14,123,0,1,0,1,28,5,28,0,0,156,20,2,11,3,3,3,1,141,4,62,326,2,1,0,1,8,2,18,0,0,209,3,5,170,17,18,1,18,1,12,5
168819220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
