,User_ID_x,User_ID_y,Weights
91,14745550,397812389,10
92,14745550,404919473,2
93,14745550,422937089,1
94,14745550,462114432,4
95,14745550,511231057,1
96,14745550,513787993,34
97,14745550,516563463,1
98,14745550,538785862,2
99,14745550,540660963,2
100,14745550,548626907,1
101,14745550,557078282,2
102,14745550,581500758,3
103,14745550,601361069,3
104,14745550,722480016,1
105,14745550,756049831,7
106,14745550,757634750,5
107,14745550,822444836,1
108,14745550,864558457,3
109,14745550,919886574,35
110,14745550,1119574238,3
111,14745550,1137273540,6
112,14745550,1286987072,1
113,14745550,1374764281,2
114,14745550,1428039019,1
115,14745550,1489300873,6
116,14745550,1541891113,1
117,14745550,1547761836,1
118,14745550,1579845464,5
119,14745550,1603766299,1
120,14745550,1891556472,3
121,14745550,1891615903,4
122,14745550,2176958272,1
123,14745550,2196884166,1
124,14745550,2391370394,1
125,14745550,2424692306,30
126,14745550,2426315467,1
127,14745550,2464554372,2
128,14745550,2602052260,2
129,14745550,2738526278,9
130,14745550,2767997646,1
131,14745550,2894492515,3
132,14745550,2911679200,5
133,14745550,2989219299,8
134,14745550,3081503914,7
135,14745550,3093535243,6
136,14745550,3126680683,1
137,14745550,3132637902,3
138,14745550,3160361312,2
139,14745550,3166163040,2
140,14745550,3315650567,5
141,15335491,7790622,5
142,15335491,14745550,14
143,15335491,17067404,1
144,15335491,19728844,1
145,15335491,24546672,7
146,15335491,25409581,3
147,15335491,29757178,10
148,15335491,32138442,8
149,15335491,35627887,18
150,15335491,36023807,4
151,15335491,42795468,19
152,15335491,44245603,1
153,15335491,46870227,1
154,15335491,48762009,9
155,15335491,51175773,9
156,15335491,58539856,1
157,15335491,60935743,1
158,15335491,64722891,1
159,15335491,158920425,1
160,15335491,159302754,8
161,15335491,173789958,20
162,15335491,196531533,21
163,15335491,215446879,5
164,15335491,228147604,2
165,15335491,249782044,43
166,15335491,261068895,1
167,15335491,274335684,16
168,15335491,284677404,12
169,15335491,297943941,13
170,15335491,305134790,1
171,15335491,318357602,2
172,15335491,320478877,1
173,15335491,388579974,6
174,15335491,392514148,1
175,15335491,397812389,20
176,15335491,404919473,1
177,15335491,420572254,8
178,15335491,497964337,2
179,15335491,513787993,12
180,15335491,538785862,1
181,15335491,557078282,2
182,15335491,581500758,1
183,15335491,756049831,1
184,15335491,757634750,8
185,15335491,864558457,2
186,15335491,909106970,1
187,15335491,919886574,19
188,15335491,1137273540,24
189,15335491,1428039019,1
190,15335491,1458272461,3
191,15335491,1489300873,5
192,15335491,1541891113,1
193,15335491,1579845464,3
194,15335491,1603766299,1
195,15335491,1724303324,1
196,15335491,1891556472,1
197,15335491,1891615903,3
198,15335491,2195493073,1
199,15335491,2196884166,8
200,15335491,2424692306,27
201,15335491,2602052260,9
202,15335491,2738526278,13
203,15335491,2894492515,1
204,15335491,2911679200,8
205,15335491,2989219299,3
206,15335491,3081503914,5
207,15335491,3093535243,5
208,15335491,3126680683,1
209,15335491,3160361312,2
210,15335491,3165612010,5
211,15335491,3166163040,2
212,15335491,3315650567,2
213,17067404,15335491,1
214,17067404,196531533,1
215,17067404,1891556472,1
216,19728844,15335491,1
217,19728844,24546672,3
218,19728844,25409581,5
219,19728844,32138442,1
220,19728844,35627887,2
221,19728844,42795468,3
222,19728844,44245603,3
223,19728844,60935743,1
224,19728844,158920425,2
225,19728844,159302754,1
226,19728844,215446879,1
227,19728844,215876901,1
228,19728844,249782044,1
229,19728844,341179470,1
230,19728844,384341065,1
231,19728844,388579974,3
232,19728844,392514148,1
233,19728844,397812389,1
234,19728844,511231057,2
235,19728844,513787993,1
236,19728844,540660963,1
237,19728844,557078282,3
238,19728844,581500758,4
239,19728844,712746949,1
240,19728844,756049831,3
241,19728844,856463456,1
242,19728844,952682149,1
243,19728844,1489300873,1
244,19728844,1891556472,1
245,19728844,2196884166,1
246,19728844,2464554372,1
247,19728844,2767997646,1
248,19728844,3166163040,1
249,22686311,36023807,2
250,22686311,173789958,1
251,22686311,284677404,10
252,22686311,297943941,3
253,22686311,397812389,2
254,22686311,420572254,2
255,22686311,422937089,1
256,22686311,1137273540,4
257,22686311,1458272461,3
258,22686311,2196884166,1
259,22686311,2602052260,5
260,22686311,3165612010,6
261,24546672,7790622,1
262,24546672,14745550,9
263,24546672,15335491,7
264,24546672,19728844,3
265,24546672,25409581,4
266,24546672,29757178,2
267,24546672,32138442,4
268,24546672,35627887,23
269,24546672,36023807,5
270,24546672,42795468,5
271,24546672,44245603,7
272,24546672,48762009,7
273,24546672,51175773,4
274,24546672,60935743,1
275,24546672,65142014,1
276,24546672,115090735,2
277,24546672,159302754,18
278,24546672,173789958,6
279,24546672,196531533,8
280,24546672,215446879,9
281,24546672,215876901,3
282,24546672,228147604,2
283,24546672,249782044,38
284,24546672,274335684,12
285,24546672,284677404,1
286,24546672,297943941,1
287,24546672,305134790,1
288,24546672,318357602,1
289,24546672,320478877,1
290,24546672,388579974,5
291,24546672,392514148,3
292,24546672,397812389,5
293,24546672,424531790,3
294,24546672,462114432,2
295,24546672,471472958,1
296,24546672,511231057,4
297,24546672,513787993,6
298,24546672,538785862,9
299,24546672,548626907,1
300,24546672,557078282,7
301,24546672,593118823,1
302,24546672,601361069,3
