Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
storm,2,0.0,100.0,863113304
storm,2,0.0,100.0,2447898228
foot,4,0.0,100.0,28707625
foot,4,0.0,100.0,56838981
foot,4,0.0,100.0,56838981
foot,4,0.0,100.0,863113304
becker,2,0.0,100.0,2782373709
becker,2,0.0,100.0,2782373709
leavitt,1,0.0,100.0,33831682
favor,2,0.0,100.0,2502484436
favor,2,0.0,100.0,193192630
concern,1,0.0,100.0,553480874
policy,12,0.0,100.0,553480874
policy,12,0.0,100.0,553480874
policy,12,0.0,100.0,553480874
policy,12,0.0,100.0,107801651
policy,12,0.0,100.0,3358621409
policy,12,0.0,100.0,107801651
policy,12,0.0,100.0,2502484436
policy,12,0.0,100.0,193192630
policy,12,0.0,100.0,863113304
policy,12,0.0,100.0,565501978
policy,12,0.0,100.0,20415005
policy,12,0.0,100.0,2842797465
pastormarkburns,1,100.0,0.0,193192630
regrets,1,0.0,100.0,753498337
conspiracy,1,0.0,100.0,553480874
proudtexangal,1,100.0,0.0,33831682
others,18,16.666666666666664,83.33333333333334,748477502
others,18,16.666666666666664,83.33333333333334,3311276608
others,18,16.666666666666664,83.33333333333334,56838981
others,18,16.666666666666664,83.33333333333334,56838981
others,18,16.666666666666664,83.33333333333334,56838981
others,18,16.666666666666664,83.33333333333334,553480874
others,18,16.666666666666664,83.33333333333334,48240104
others,18,16.666666666666664,83.33333333333334,57461026
others,18,16.666666666666664,83.33333333333334,565501978
others,18,16.666666666666664,83.33333333333334,457123526
others,18,16.666666666666664,83.33333333333334,3311276608
others,18,16.666666666666664,83.33333333333334,16579411
others,18,16.666666666666664,83.33333333333334,3358621409
others,18,16.666666666666664,83.33333333333334,457123526
others,18,16.666666666666664,83.33333333333334,565501978
others,18,16.666666666666664,83.33333333333334,457123526
others,18,16.666666666666664,83.33333333333334,2447898228
others,18,16.666666666666664,83.33333333333334,2447898228
pin,1,0.0,100.0,30043610
note,2,50.0,50.0,453561436
note,2,50.0,50.0,16579411
south,2,50.0,50.0,56838981
south,2,50.0,50.0,27944341
rbg,1,0.0,100.0,553480874
bigotry,3,0.0,100.0,574670873
bigotry,3,0.0,100.0,574670873
bigotry,3,0.0,100.0,1430129144
populations,1,0.0,100.0,2447898228
advice,1,0.0,100.0,1659062558
lines,3,0.0,100.0,20415005
lines,3,0.0,100.0,20415005
lines,3,0.0,100.0,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
fairimmigration,24,87.5,12.5,16579411
divide,1,0.0,100.0,553480874
fruits,1,0.0,100.0,16579411
ape,1,0.0,100.0,33831682
night,3,100.0,0.0,887569722
night,3,100.0,0.0,567649661
night,3,100.0,0.0,3311276608
smartconservatives,1,100.0,0.0,2608084976
rove,1,0.0,100.0,887569722
place,16,18.75,81.25,56838981
